application_id,applicant_id,ssn_hash,date_of_birth,ssn_issue_year,ssn_issue_state,application_state,credit_file_age_months,stated_annual_income,application_timestamp,ip_address,device_fingerprint,name_ssn_match_score,address_match_score,phone_tenure_days,email_tenure_days,email_domain,kyc_attempt_count,kyc_result,kyc_start_timestamp,kyc_complete_timestamp,document_type,kyc_failure_reasons,liveness_score,document_auth_score,manual_review_flag,application_status,fraud_label,signal_embedded
APP-00000014,APPL-009503,56084055c9f821b9,1983-01-22,1985,IL,NC,131,39946.0,2024-02-14 02:39:00,64.109.211.76,DEV-550515,88.7,78.7,1909,3262,gmail.com,1,pass,2024-02-14 02:39:00,2024-02-14 02:41:17,state_id,,84.0,86.3,0,pending,clean,
APP-00000015,APPL-009128,3727d9c00b74663a,1997-10-17,1999,NY,NY,217,69979.0,2023-04-25 02:56:00,177.74.200.229,DEV-521567,86.5,97.8,2490,2084,hotmail.com,1,pass,2023-04-25 02:56:00,2023-04-25 03:05:33,passport,,84.2,95.0,0,approved,clean,
APP-00000016,APPL-008750,f7d28d6a38a31f67,1983-02-13,1985,CA,NC,168,46640.0,2023-11-18 18:26:00,90.251.237.19,DEV-654591,87.8,91.8,2314,724,icloud.com,1,pass,2023-11-18 18:26:00,2023-11-18 18:34:00,state_id,,91.8,97.4,0,approved,clean,
APP-00000017,APPL-005956,98f660ee80da3e20,1992-12-09,1993,NY,NC,100,60013.0,2023-06-29 06:10:00,75.73.240.170,DEV-611672,97.7,82.4,2659,3429,gmail.com,1,pass,2023-06-29 06:10:00,2023-06-29 06:12:17,drivers_license,,81.5,91.7,0,pending,clean,
APP-00000018,APPL-005281,54b9daa2fec6b904,1993-09-23,1995,NY,GA,126,106563.0,2024-08-10 03:59:00,42.57.195.16,DEV-617006,79.6,88.7,410,2642,yahoo.com,1,pass,2024-08-10 03:59:00,2024-08-10 04:01:48,state_id,,91.9,92.5,0,approved,clean,
APP-00000019,APPL-002455,c8f9639f59f5c639,1986-06-18,1987,NY,FL,147,96483.0,2023-05-09 02:47:00,102.166.239.29,DEV-591545,82.9,71.3,2605,2906,yahoo.com,1,pass,2023-05-09 02:47:00,2023-05-09 02:54:13,state_id,,99.3,93.3,0,pending,clean,
APP-00000020,APPL-005236,3d4f8b3ec2c413e1,1969-11-03,1974,CA,CA,189,80288.0,2023-05-26 04:54:00,150.114.177.245,DEV-806280,79.8,76.3,764,360,hotmail.com,1,pass,2023-05-26 04:54:00,2023-05-26 04:59:11,passport,,88.1,95.7,0,declined,clean,
APP-00000021,APPL-005179,65e0ec71abd79be2,1975-10-02,1977,GA,PA,81,35774.0,2023-07-10 08:25:00,231.209.33.221,DEV-927772,76.2,97.1,1065,2555,hotmail.com,1,pass,2023-07-10 08:25:00,2023-07-10 08:34:12,drivers_license,,92.7,96.1,0,declined,clean,
APP-00000022,APPL-004010,2f48e04aff0eda77,1991-08-22,1996,OH,WA,150,98307.0,2023-02-25 21:51:00,205.28.193.90,DEV-223130,80.8,72.3,2468,3755,yahoo.com,1,pass,2023-02-25 21:51:00,2023-02-25 21:58:24,state_id,,94.2,94.0,0,approved,clean,
APP-00000023,APPL-005389,bf108281ea577a0b,1961-03-24,1964,IL,WA,161,84557.0,2024-01-23 23:08:00,116.93.62.128,DEV-763754,94.6,92.3,2096,3794,gmail.com,2,pass,2024-01-23 23:08:00,2024-01-23 23:10:41,passport,,84.3,98.9,0,pending,clean,
APP-00000024,APPL-001268,b62db89d90e6bd67,1982-02-23,1984,CA,NC,136,41341.0,2024-12-05 19:29:00,148.153.81.203,DEV-748645,94.0,83.8,2009,3364,yahoo.com,1,pass,2024-12-05 19:29:00,2024-12-05 19:36:41,passport,,87.6,88.7,0,approved,clean,
APP-00000025,APPL-008688,21d2cf8200de0f0c,1987-04-13,1988,FL,IL,116,57053.0,2023-06-27 11:02:00,96.39.102.41,DEV-360801,80.3,91.4,1629,1550,outlook.com,1,pass,2023-06-27 11:02:00,2023-06-27 11:06:48,drivers_license,,87.6,88.9,0,pending,clean,
APP-00000026,APPL-003057,911e64a5c747b321,1960-08-16,1963,TX,TX,211,56707.0,2023-03-04 10:41:00,248.4.36.35,DEV-181967,78.3,87.3,1414,2430,icloud.com,1,pass,2023-03-04 10:41:00,2023-03-04 10:44:27,state_id,,80.3,89.1,0,pending,clean,
APP-00000027,APPL-005895,67d8550a5b59c428,1999-06-18,2001,FL,TX,140,88992.0,2024-04-20 12:02:00,52.94.62.123,DEV-751145,78.0,84.4,710,3148,hotmail.com,1,pass,2024-04-20 12:02:00,2024-04-20 12:11:58,drivers_license,,93.4,96.6,0,pending,clean,
APP-00000028,APPL-000924,8db491c671e5e131,1968-06-29,1973,IL,OH,206,107482.0,2024-03-25 03:56:00,41.233.140.1,DEV-765386,89.9,94.6,2440,2504,outlook.com,1,pass,2024-03-25 03:56:00,2024-03-25 04:02:33,state_id,,96.0,88.5,0,approved,clean,
APP-00000029,APPL-003029,7087f3665f20041e,1982-02-25,1985,FL,NC,110,96532.0,2023-01-02 11:10:00,146.194.47.45,DEV-627052,90.1,84.5,2027,1066,icloud.com,2,pass,2023-01-02 11:10:00,2023-01-02 11:12:20,passport,,91.4,95.4,0,approved,clean,
APP-00000030,APPL-003796,72a39943dcdc23e3,1990-01-21,1994,GA,OH,81,78291.0,2024-04-20 05:36:00,252.224.58.76,DEV-338562,92.2,96.8,2142,2845,gmail.com,1,pass,2024-04-20 05:36:00,2024-04-20 05:39:22,drivers_license,,80.7,97.6,0,pending,clean,
APP-00000031,APPL-006697,3e54b99df1199341,1983-08-16,1987,WA,NY,198,40892.0,2023-11-22 11:06:00,76.20.173.99,DEV-637365,82.9,72.7,1152,3753,hotmail.com,1,pass,2023-11-22 11:06:00,2023-11-22 11:11:24,state_id,,93.1,84.1,0,approved,clean,
APP-00000032,APPL-001247,efd33e371bdcb73d,1973-12-24,1975,OH,FL,126,114200.0,2023-08-15 10:48:00,230.241.12.248,DEV-959105,88.0,95.5,2995,2026,hotmail.com,1,pass,2023-08-15 10:48:00,2023-08-15 10:52:41,passport,,91.4,80.6,0,approved,clean,
APP-00000033,APPL-002953,70e26e1087fe22b1,1973-12-05,1976,GA,NC,81,87694.0,2024-03-07 00:25:00,104.241.212.135,DEV-373902,80.7,88.2,910,1924,gmail.com,1,pass,2024-03-07 00:25:00,2024-03-07 00:29:40,state_id,,98.9,80.0,0,approved,clean,
APP-00000034,APPL-009537,24ec1976bbb58201,1974-07-26,1977,IL,IL,222,40305.0,2023-06-02 05:46:00,187.24.8.95,DEV-681374,80.2,84.6,1635,2562,hotmail.com,2,pass,2023-06-02 05:46:00,2023-06-02 05:55:45,state_id,,92.8,80.9,0,approved,clean,
APP-00000035,APPL-001738,154b562e7611dfab,1987-10-07,1991,NY,GA,49,100155.0,2024-07-16 01:00:00,13.247.83.45,DEV-658001,90.1,97.6,789,576,gmail.com,1,pass,2024-07-16 01:00:00,2024-07-16 01:07:37,state_id,,87.0,87.8,0,approved,clean,
APP-00000036,APPL-003981,992d36493b740007,1989-03-06,1990,WA,NC,119,45464.0,2024-03-14 14:24:00,39.162.55.15,DEV-795713,75.2,77.8,2150,2843,hotmail.com,1,pass,2024-03-14 14:24:00,2024-03-14 14:25:33,passport,,88.2,91.4,0,approved,clean,
APP-00000037,APPL-002900,9f95f113dae33d10,1990-05-21,1992,NY,CA,212,72436.0,2024-09-17 15:37:00,201.193.207.118,DEV-505006,93.3,73.8,1315,2105,yahoo.com,1,pass,2024-09-17 15:37:00,2024-09-17 15:44:32,drivers_license,,97.0,81.5,0,declined,clean,
APP-00000038,APPL-001337,e6d1ba600081626f,1978-03-16,1981,IL,TX,36,46568.0,2023-08-08 18:39:00,216.60.71.148,DEV-603062,87.4,76.6,2003,602,gmail.com,2,pass,2023-08-08 18:39:00,2023-08-08 18:45:16,drivers_license,,94.5,85.3,0,declined,clean,
APP-00000039,APPL-003446,e4ad709dec939ed5,1979-11-10,1981,PA,IL,212,119821.0,2023-08-06 07:06:00,76.185.16.164,DEV-780039,79.9,74.2,1859,1602,hotmail.com,1,pass,2023-08-06 07:06:00,2023-08-06 07:15:36,passport,,90.7,93.9,0,pending,clean,
APP-00000040,APPL-007633,30d4dcc5512ed03d,1980-05-14,1982,GA,NY,71,60969.0,2024-11-21 21:26:00,97.26.80.127,DEV-960887,82.1,90.9,2353,2884,gmail.com,2,pass,2024-11-21 21:26:00,2024-11-21 21:33:50,passport,,89.5,92.8,0,approved,clean,
APP-00000041,APPL-006135,c067c6ef35576056,1983-09-27,1986,IL,NC,137,76861.0,2024-09-29 15:10:00,65.167.155.165,DEV-751971,91.5,88.3,1405,2576,gmail.com,2,pass,2024-09-29 15:10:00,2024-09-29 15:17:00,state_id,,97.4,97.2,0,approved,clean,
APP-00000042,APPL-009879,5cc1c8262edbe7ba,1976-07-26,1978,NY,NC,222,113097.0,2023-05-13 19:48:00,210.188.248.5,DEV-852580,90.4,87.1,1355,2532,gmail.com,2,pass,2023-05-13 19:48:00,2023-05-13 19:57:25,state_id,,94.8,93.4,0,approved,clean,
APP-00000043,APPL-008976,2b19da3511819f2e,1995-09-06,1997,IL,NC,152,61222.0,2024-04-17 03:53:00,250.9.17.91,DEV-720216,85.3,93.5,253,3311,gmail.com,1,pass,2024-04-17 03:53:00,2024-04-17 03:55:55,drivers_license,,80.6,85.8,0,approved,clean,
APP-00000044,APPL-006370,91ebd6bf3f47ecdf,1989-06-22,1993,GA,CA,118,69744.0,2023-01-01 14:46:00,97.77.195.76,DEV-356384,99.7,90.9,482,582,yahoo.com,1,pass,2023-01-01 14:46:00,2023-01-01 14:48:15,state_id,,99.5,87.7,0,approved,clean,
APP-00000045,APPL-009812,f7071f08a5a258c1,1960-05-14,1965,PA,GA,47,82327.0,2023-03-04 03:45:00,165.251.158.65,DEV-783872,77.0,73.1,2026,2645,yahoo.com,1,pass,2023-03-04 03:45:00,2023-03-04 03:46:56,state_id,,81.6,92.1,0,declined,clean,
APP-00000046,APPL-000930,af7a24039db98cb4,1974-07-26,1979,IL,NC,106,93317.0,2023-07-25 17:35:00,46.189.166.112,DEV-399547,80.7,86.0,1394,3069,outlook.com,1,pass,2023-07-25 17:35:00,2023-07-25 17:44:42,drivers_license,,96.5,97.3,0,approved,clean,
APP-00000047,APPL-009330,b8901396c2aa798d,1974-07-08,1979,NC,FL,110,82536.0,2023-07-05 21:38:00,246.75.235.173,DEV-821477,98.7,76.5,1938,3523,gmail.com,2,pass,2023-07-05 21:38:00,2023-07-05 21:44:38,passport,,90.1,94.5,0,pending,clean,
APP-00000048,APPL-005622,92e8a67ec239c191,1974-05-15,1976,GA,PA,197,51176.0,2024-10-25 18:59:00,86.66.220.3,DEV-383223,89.1,76.9,1753,3878,icloud.com,1,pass,2024-10-25 18:59:00,2024-10-25 19:03:03,passport,,91.7,84.0,0,approved,clean,
APP-00000049,APPL-002630,0cd5180d47133da2,1983-12-12,1986,NC,NC,121,56351.0,2024-01-09 09:28:00,64.20.173.165,DEV-555909,99.8,92.3,498,2345,gmail.com,2,pass,2024-01-09 09:28:00,2024-01-09 09:35:48,state_id,,98.5,90.6,0,pending,clean,
APP-00000050,APPL-004808,61b14ecfda9bd06a,1985-02-02,1990,WA,IL,103,86230.0,2023-07-22 06:33:00,229.250.75.254,DEV-237678,96.6,85.5,1617,1294,yahoo.com,2,pass,2023-07-22 06:33:00,2023-07-22 06:36:37,passport,,91.2,88.5,0,approved,clean,
APP-00000051,APPL-006504,b96f88027d71ae88,1985-08-26,1986,WA,OH,187,96554.0,2023-03-23 14:51:00,177.168.173.213,DEV-799156,91.8,97.5,2574,2237,outlook.com,2,pass,2023-03-23 14:51:00,2023-03-23 14:59:57,passport,,92.2,91.9,0,approved,clean,
APP-00000052,APPL-000466,924db79dce4d2b86,1972-12-04,1976,TX,IL,167,96051.0,2023-10-24 03:08:00,71.40.195.164,DEV-373725,95.8,91.4,1397,3752,outlook.com,2,pass,2023-10-24 03:08:00,2023-10-24 03:12:31,state_id,,87.9,86.5,0,pending,clean,
APP-00000053,APPL-007531,86a3c23542a36818,1969-08-13,1972,FL,TX,164,64662.0,2024-01-02 07:34:00,81.192.157.220,DEV-794402,78.9,93.1,370,3346,hotmail.com,2,pass,2024-01-02 07:34:00,2024-01-02 07:38:42,drivers_license,,84.6,84.7,0,approved,clean,
APP-00000054,APPL-003995,8eefdafbf4c67195,1989-07-19,1992,WA,WA,182,77807.0,2024-10-29 21:17:00,182.127.120.78,DEV-251442,98.0,70.4,2085,460,gmail.com,1,pass,2024-10-29 21:17:00,2024-10-29 21:22:05,passport,,96.8,99.2,0,pending,clean,
APP-00000055,APPL-009439,42d8a4c4401825f0,1986-05-10,1991,IL,GA,160,99420.0,2023-08-21 04:33:00,116.174.46.237,DEV-642716,97.2,91.4,1853,2454,yahoo.com,1,pass,2023-08-21 04:33:00,2023-08-21 04:39:48,passport,,95.4,91.8,0,declined,clean,
APP-00000056,APPL-006187,8bf0922e9750cf1e,1968-07-31,1972,CA,NC,109,77560.0,2023-04-20 07:03:00,231.12.34.81,DEV-833549,82.9,91.5,2857,2560,icloud.com,2,pass,2023-04-20 07:03:00,2023-04-20 07:06:42,state_id,,88.3,91.3,0,approved,clean,
APP-00000057,APPL-004638,abe3fc044018cdfb,1962-03-23,1964,GA,IL,152,47810.0,2024-10-12 01:35:00,35.48.205.232,DEV-827959,95.2,73.7,2158,638,icloud.com,1,pass,2024-10-12 01:35:00,2024-10-12 01:38:12,state_id,,99.0,89.5,0,declined,clean,
APP-00000058,APPL-009519,9aa0e637d819a3fa,1969-05-26,1970,IL,NY,167,109740.0,2024-06-24 03:25:00,106.243.154.208,DEV-728672,90.4,87.3,937,3685,gmail.com,1,pass,2024-06-24 03:25:00,2024-06-24 03:26:33,passport,,82.0,85.1,0,approved,clean,
APP-00000059,APPL-005666,d23acaafd33f53f5,1996-04-18,2001,OH,IL,54,57492.0,2024-02-20 09:15:00,22.49.239.147,DEV-309629,90.4,70.7,1103,1427,yahoo.com,1,pass,2024-02-20 09:15:00,2024-02-20 09:21:05,state_id,,86.9,91.9,0,approved,clean,
APP-00000060,APPL-004945,7c1499cf2eb7146a,1960-06-16,1964,TX,FL,225,79438.0,2024-11-24 05:17:00,212.201.148.26,DEV-493444,94.9,83.4,612,1126,icloud.com,1,pass,2024-11-24 05:17:00,2024-11-24 05:24:15,passport,,92.7,80.4,0,approved,clean,
APP-00000061,APPL-004596,f3f2cab117b71053,1982-02-25,1984,CA,NY,200,67288.0,2023-04-08 13:13:00,29.96.139.165,DEV-350271,93.8,99.1,502,3155,gmail.com,1,pass,2023-04-08 13:13:00,2023-04-08 13:22:44,state_id,,98.0,90.9,0,approved,clean,
APP-00000062,APPL-003676,4e4f17df3ae6ae27,1969-10-11,1970,WA,OH,182,100157.0,2023-03-13 15:09:00,81.70.154.164,DEV-659934,81.0,87.6,934,2857,hotmail.com,2,pass,2023-03-13 15:09:00,2023-03-13 15:18:35,drivers_license,,86.2,95.3,0,approved,clean,
APP-00000063,APPL-004651,5729f6dc9cefea77,1964-07-05,1966,TX,CA,77,84876.0,2024-08-26 07:09:00,103.123.232.152,DEV-616521,93.4,76.1,491,224,yahoo.com,2,pass,2024-08-26 07:09:00,2024-08-26 07:18:16,state_id,,86.6,85.3,0,approved,clean,
APP-00000064,APPL-001994,35dc7770ba0ad7cf,1965-03-12,1968,PA,NY,208,38313.0,2023-09-05 01:15:00,69.70.113.59,DEV-238109,75.6,95.2,1497,2815,outlook.com,1,pass,2023-09-05 01:15:00,2023-09-05 01:21:40,passport,,95.3,89.5,0,declined,clean,
APP-00000065,APPL-005203,33b4109470177301,1993-08-27,1994,NY,PA,152,100793.0,2023-03-22 17:41:00,91.147.1.61,DEV-623945,85.8,87.2,299,3448,yahoo.com,1,pass,2023-03-22 17:41:00,2023-03-22 17:46:02,state_id,,86.2,90.7,0,declined,clean,
APP-00000066,APPL-009581,deaaa601a37cd2f0,1968-03-29,1969,NC,NY,137,85115.0,2023-12-31 01:55:00,211.217.9.198,DEV-902751,89.9,77.1,1017,1591,outlook.com,2,pass,2023-12-31 01:55:00,2023-12-31 02:00:14,state_id,,87.3,91.9,0,approved,clean,
APP-00000067,APPL-000322,dfc7a9196d8cd133,1998-10-26,1999,CA,WA,225,56484.0,2023-07-25 04:58:00,153.250.130.117,DEV-253300,97.2,74.2,2143,1050,gmail.com,2,pass,2023-07-25 04:58:00,2023-07-25 05:01:45,state_id,,94.8,84.5,0,declined,clean,
APP-00000068,APPL-000433,536c86ba8754459c,1965-08-19,1969,FL,PA,125,37179.0,2024-07-07 23:56:00,220.86.227.248,DEV-355005,77.3,82.5,2519,1138,yahoo.com,1,pass,2024-07-07 23:56:00,2024-07-07 23:59:41,drivers_license,,92.6,97.9,0,approved,clean,
APP-00000069,APPL-001752,1820ad0e2b8dcf58,1969-09-27,1971,NC,IL,71,85523.0,2024-08-10 04:30:00,100.71.228.26,DEV-141218,93.8,72.8,1763,581,hotmail.com,1,pass,2024-08-10 04:30:00,2024-08-10 04:35:51,state_id,,99.7,91.5,0,approved,clean,
APP-00000070,APPL-009739,0fc98ff1137196af,1980-12-05,1984,NC,PA,165,64870.0,2023-04-27 22:33:00,192.192.149.220,DEV-221848,89.8,94.0,2038,1431,yahoo.com,1,pass,2023-04-27 22:33:00,2023-04-27 22:40:32,state_id,,86.1,82.3,0,approved,clean,
APP-00000071,APPL-001909,8997a51f3e46899e,1994-08-12,1996,WA,PA,121,106886.0,2023-07-25 03:53:00,82.206.116.105,DEV-988132,80.6,77.8,2355,1682,gmail.com,1,pass,2023-07-25 03:53:00,2023-07-25 03:57:08,passport,,97.4,84.2,0,approved,clean,
APP-00000072,APPL-004193,ca3d64f9aea11cb7,1971-01-04,1975,CA,NC,92,116395.0,2023-06-27 02:09:00,182.114.203.80,DEV-783312,83.4,81.4,2012,417,outlook.com,2,pass,2023-06-27 02:09:00,2023-06-27 02:16:29,state_id,,93.3,97.7,0,approved,clean,
APP-00000073,APPL-008104,257148875f911772,1991-12-21,1995,CA,GA,176,108236.0,2023-10-17 04:12:00,78.65.129.16,DEV-357865,84.9,77.6,746,505,yahoo.com,1,pass,2023-10-17 04:12:00,2023-10-17 04:16:24,state_id,,98.6,99.3,0,pending,clean,
APP-00000074,APPL-003482,763a4e233b09401d,1980-09-13,1984,PA,FL,75,99551.0,2024-04-25 14:23:00,119.187.220.65,DEV-780464,75.9,75.1,2986,1725,hotmail.com,1,pass,2024-04-25 14:23:00,2024-04-25 14:28:14,state_id,,81.4,91.2,0,approved,clean,
APP-00000075,APPL-005595,b857e116d9ec5e8d,1992-09-17,1993,TX,NC,60,94488.0,2023-03-25 03:34:00,117.214.75.227,DEV-859531,89.4,89.1,2207,3298,icloud.com,1,pass,2023-03-25 03:34:00,2023-03-25 03:35:33,passport,,86.0,82.8,0,approved,clean,
APP-00000076,APPL-005899,471c119a4e07152f,1961-07-08,1964,OH,NC,94,106496.0,2023-12-03 09:09:00,83.255.150.156,DEV-825138,80.9,70.9,2183,789,gmail.com,1,pass,2023-12-03 09:09:00,2023-12-03 09:18:18,drivers_license,,95.7,97.5,0,approved,clean,
APP-00000077,APPL-009230,2060de22d600475d,1962-03-03,1967,CA,NY,217,117431.0,2024-07-25 18:26:00,12.139.204.253,DEV-449932,94.7,97.8,1877,1315,gmail.com,1,pass,2024-07-25 18:26:00,2024-07-25 18:27:30,state_id,,99.2,96.5,0,approved,clean,
APP-00000078,APPL-008460,9a22938dc70631a5,1966-03-29,1968,NY,GA,111,110601.0,2023-01-28 19:21:00,22.64.232.243,DEV-371087,95.3,84.3,2052,3874,yahoo.com,2,pass,2023-01-28 19:21:00,2023-01-28 19:25:29,passport,,81.0,82.1,0,declined,clean,
APP-00000079,APPL-004299,4bbd5707b3d780ed,1990-03-05,1993,FL,CA,59,79554.0,2023-11-14 07:09:00,222.116.77.46,DEV-542535,89.2,78.5,1740,1126,outlook.com,1,pass,2023-11-14 07:09:00,2023-11-14 07:13:55,state_id,,80.8,98.6,0,approved,clean,
APP-00000080,APPL-008013,d483bf258965775b,1972-06-25,1975,OH,TX,103,71652.0,2023-04-08 21:38:00,40.96.121.215,DEV-482863,78.3,88.6,443,3572,icloud.com,2,pass,2023-04-08 21:38:00,2023-04-08 21:41:02,passport,,90.2,81.8,0,approved,clean,
APP-00000081,APPL-008261,477543ba7a0fb21d,1998-01-27,2003,WA,NY,233,117640.0,2024-02-04 01:36:00,46.141.118.53,DEV-697986,96.5,71.5,2554,191,icloud.com,2,pass,2024-02-04 01:36:00,2024-02-04 01:38:02,passport,,91.4,92.4,0,approved,clean,
APP-00000082,APPL-003479,64973338f1cd956e,1962-04-05,1964,PA,WA,80,56931.0,2024-10-21 16:19:00,185.17.87.87,DEV-186641,83.7,71.2,408,2747,yahoo.com,1,pass,2024-10-21 16:19:00,2024-10-21 16:27:44,state_id,,96.8,88.3,0,approved,clean,
APP-00000083,APPL-007542,91185222e0715c27,1998-12-19,1999,CA,GA,61,54603.0,2023-09-07 09:13:00,240.42.72.92,DEV-538017,84.2,88.7,1403,3535,icloud.com,1,pass,2023-09-07 09:13:00,2023-09-07 09:22:47,passport,,89.4,90.4,0,declined,clean,
APP-00000084,APPL-003103,8ece07c48899eda8,1963-01-11,1966,CA,NC,226,104277.0,2023-01-19 17:13:00,204.6.217.50,DEV-931045,75.3,88.8,2310,753,icloud.com,2,pass,2023-01-19 17:13:00,2023-01-19 17:15:03,state_id,,86.5,92.6,0,approved,clean,
APP-00000085,APPL-008192,2e5235b78941c7c2,1960-06-23,1961,NC,OH,92,117826.0,2023-09-25 05:16:00,166.252.6.227,DEV-101380,88.0,91.5,2345,992,gmail.com,2,pass,2023-09-25 05:16:00,2023-09-25 05:22:00,state_id,,96.0,97.8,0,declined,clean,
APP-00000086,APPL-005227,ac28113b40e8da1c,1961-10-21,1963,PA,CA,153,102326.0,2024-11-02 23:05:00,184.90.97.32,DEV-206027,95.2,91.7,700,1271,outlook.com,1,pass,2024-11-02 23:05:00,2024-11-02 23:08:39,drivers_license,,86.8,83.7,0,declined,clean,
APP-00000087,APPL-004095,1bfad43e7085d63a,1960-11-27,1964,GA,IL,222,42893.0,2024-06-29 00:04:00,206.231.107.162,DEV-916292,83.6,79.4,1345,2567,gmail.com,2,pass,2024-06-29 00:04:00,2024-06-29 00:11:37,drivers_license,,94.1,87.4,0,approved,clean,
APP-00000088,APPL-009629,fd9fd13c3af24788,1966-10-21,1970,NC,NC,214,76627.0,2024-10-14 22:51:00,4.186.146.159,DEV-597461,91.0,74.1,1996,1737,yahoo.com,1,pass,2024-10-14 22:51:00,2024-10-14 22:55:58,passport,,92.7,95.0,0,approved,clean,
APP-00000089,APPL-004689,8428f53d53f874b9,1969-02-20,1974,PA,TX,56,92311.0,2023-06-01 09:20:00,29.143.195.78,DEV-147071,94.9,72.1,2103,3967,outlook.com,1,pass,2023-06-01 09:20:00,2023-06-01 09:27:09,state_id,,80.1,91.1,0,approved,clean,
APP-00000090,APPL-002664,6d08290394151ea6,1972-11-09,1975,PA,OH,175,53948.0,2023-02-16 05:24:00,101.43.248.236,DEV-359588,85.1,82.7,2908,3521,yahoo.com,2,pass,2023-02-16 05:24:00,2023-02-16 05:26:09,passport,,87.1,83.0,0,approved,clean,
